security_id,cusip,sedol,isin,ric,bloomberg,bbg,symbol,root_symbol,bb_yellow,spn
BBG00BVB6S99,G9887T108,,KYG9887T1085,,48572203,BBG00BVB6S99,9688 HK,9688,,
BBG0015HYBQ4,,,,BAJAX0:NS,,,BJAUT=X0,BJAUT=,,
BBG00188KJM3,,,,IGASX0:NS,,,IGL=X0,IGL=,,
BBG0016YXRN5,,,,SUTVZ0:NS,,BBG0016YXRN5,SUNTV=Z0,SUNTV=,,
BBG0016YXR19,,,,TITNZ0:NS,,BBG0016YXR19,TTAN=Z0,TTAN=,,
BBG000VR99Q8,,,,PWFCV0:NS,,BBG000VR99Q8,POWF=V0,POWF=,POWF=V0 IS Equity,
BBG000VR8774,,,,BAJEV0:NS,,BBG000VR8774,BHE=V0,BHE=,BHE=V0 IS Equity,
BBG0015HY7Z3,,,,REDYX0:NS,,BBG0015HY7Z3,DRRD=X0,DRRD=,,
BBG0015HY8Y2,,,,GAILX0:NS,,BBG0015HY8Y2,GAIL=X0,GAIL=,,
BBG00188KL02,,,,IGASZ0:NS,,BBG00188KL02,IGL=Z0,IGL=,,
BBG0016YXQW7,,,,DIVIZ0:NS,,BBG0016YXQW7,DIVI=Z0,DIVI=,,
BBG001894YY3,,,,TTCHF1:NS,,BBG001894YY3,TTCH=F1,TTCH=,,
BBG0018951Q3,,,,RECMF1:NS,,BBG0018951Q3,RECL=F1,RECL=,,
BBG001895343,,,,ASPNF1:NS,,BBG001895343,APNT=F1,APNT=,,
BBG001894WF8,,,,CIPLF1:NS,,BBG001894WF8,CIPLA=F1,CIPLA=,,
BBG0018950Q5,,,,CCRIF1:NS,,BBG0018950Q5,CCRI=F1,CCRI=,,
BBG001894WJ4,,,,HALCF1:NS,,BBG001894WJ4,HNDL=F1,HNDL=,,
BBG001894WB2,,,,BHELF1:NS,,BBG001894WB2,BHEL=F1,BHEL=,,
BBG0019N3MH7,,,,HLLG1:NS,,BBG0019N3MH7,HUVR=G1,HUVR=,,
BBG0019N3M78,,,,TISCG1:NS,,BBG0019N3M78,TATA=G1,TATA=,,
BBG0019N3NF7,,,,COLGG1:NS,,BBG0019N3NF7,CLGT=G1,CLGT=,,
BBG0019N3NM9,,,,PLNGG1:NS,,BBG0019N3NM9,PLNG=G1,PLNG=,,
BBG0019N3K72,,,,MAHMG1:NS,,BBG0019N3K72,MM=G1,MM=,,
BBG0019N3MB3,,,,SRTRG1:NS,,BBG0019N3MB3,SHTF=G1,SHTF=,,
BBG0019N3PQ0,,,,ABUJG1:NS,,BBG0019N3PQ0,ACEM=G1,ACEM=,,
BBG005474BC6,,,,LGEZ3:KE,,BBG005474BC6,06657=Z3,06657=,,
BBG005478KG8,,,,HHIZ3:KE,,BBG005478KG8,00954=Z3,00954=,,
BBG005478KF9,,,,KTGZ3:KE,,BBG005478KF9,03378=Z3,03378=,,
BBG00546ZYY0,,,,KIAZ3:KE,,BBG00546ZYY0,00027=Z3,00027=,,
BBG001J78Y62,,,,R2DAZ5,,BBG001J78Y62,R2DA=Z5,R2DA=,,
BBG001BWKGB4,,,,F2TEZ5,,BBG001BWKGB4,F2TE=Z5,F2TE=,,
BBG001BWKH86,,,,Z2URZ5,,BBG001BWKH86,Z2UR=Z5,Z2UR=,,
BBG00NRVX3Y1,X1546W169,BMCFM00,FI4000476783,0E2J.L,7270420,BBG00NRVX3Y1,0E2J LI,0E2J,0E2J LN Equity,
BBG001CSKGC1,,,,BFRGH1:NS,,BBG001CSKGC1,BHFC=H1,BHFC=,,
BBG001CSKD56,,,,MAHMH1:NS,,BBG001CSKD56,MM=H1,MM=,,
BBG00NRVY370,A0400Q115,BPH3KB7,AT0000A18XM4,0QWC.L,8821874,BBG00NRVY370,0QWC LI,0QWC,0QWC LN Equity,
BBG00NRVXYL7,H8300N119,BKJ8Y35,CH0012280076,0QMV.L,328110,BBG00NRVXYL7,0QMV LI,0QMV,0QMV LN Equity,
BBG00NRVY192,H2878E106,BKJ90H4,CH0102659627,0QN3.L,116653,BBG00NRVY192,0QN3 LI,0QN3,0QN3 LN Equity,
BBG00NRVXWR5,H8398N104,B11JQ82,CH0008742519,0QKI.L,221709,BBG00NRVXWR5,0QKI LI,0QKI,0QKI LN Equity,
BBG00JHW70R2,W5303A147,BN71XC9,SE0014990966,0RB7.L,7326215,BBG00JHW70R2,0RB7 LI,0RB7,0RB7 LN Equity,
BBG001DLPC20,,,,CDFtmZ1,,BBG001DLPC20,2330=Z1,2330=,,
BBG00YYT2BT6,N82405106,BMYCBJ1,NL00150001Q9,0QXR.L,41633927,BBG00YYT2BT6,0QXR LI,0QXR,0QXR LN Equity,
BBG001FC66B2,,,,ICBKJ1:NS,,BBG001FC66B2,ICICI=J1,ICICI=,,
BBG001FC61X9,,,,TTCHJ1:NS,,BBG001FC61X9,TTCH=J1,TTCH=,,
BBG001FC64Z1,,,,SAILJ1:NS,,BBG001FC64Z1,SAIL=J1,SAIL=,,
BBG001FC67W7,,,,INBKJ1:NS,,BBG001FC67W7,IIB=J1,IIB=,,
BBG001FC60D3,,,,INFYJ1:NS,,BBG001FC60D3,INFO=J1,INFO=,,
BBG001FC61J5,,,,CUMMJ1:NS,,BBG001FC61J5,KKC=J1,KKC=,,
BBG001FC60L4,,,,TAMOJ1:NS,,BBG001FC60L4,TTMT=J1,TTMT=,,
